name,price,ratings,total_ratings
"WOW Skin Science Vitamin C Serum - Brightening, Anti-Aging Skin Repair, Supercharged Face Serum, Dark Circle, Fine Line & Sun Damage Corrector, Genuine 20% - 15ml",₹349.00,3.9 out of 5 stars,"16,101 ratings"
"Minimalist Anti-Pigmentation Kit | Skin Care Routine Kit For Women & Men | Face Wash, Serum & Sunscreen Combo","₹1,234.00",3.8 out of 5 stars,9 ratings
"Roopayur Skin Healing Combo Anti Acne-Spot Facewash / Vitamin C&E Serum Gel And Moisturizer Sunscreen 100 Percent Ayurvedic Natural Care for all types of Skin, Ingredients Pack 4, multi","₹1,999.00",4.1 out of 5 stars,62 ratings
"WOW Skin Science Ultimate Vitamin C Facial Kit - consists Vitamin C Face Wash brush, Mist Toner, Face Serum, Face Cream - 430mL","₹1,339.00",4.0 out of 5 stars,855 ratings
"Minimalist Sunscreen SPF 50 Lightweight with Multi-Vitamins, No White Cast, Broad Spectrum PA ++++, Acne Safe | For Women & Men | 50 gm",₹379.00,4.2 out of 5 stars,"8,374 ratings"
"Neutrogena Ultra sheer Sunscreen, SPF 50+, Ultra light, for oily and dry skin, 30ml",₹247.00,4.2 out of 5 stars,"46,540 ratings"
"Dettol Original Germ Protection Bathing Soap Bar, (Buy 4 Get 1 Free - 125G Each), Combo Offer On Bath Soap",₹279.00,4.5 out of 5 stars,"17,284 ratings"
"Aqualogica Glow+ Dewy Sunscreen SPF 50 PA+++ For UVA/B & Blue Light Protection, for Glowing & Well Protected Skin, Cream, 50G",₹359.00,4.2 out of 5 stars,"3,408 ratings"
"Simple Kind To Skin Refreshing Facial Wash 150 Ml, Mild Face Wash With No Harsh Chemicals, Soap Free, Paraben Free, Gentle Cleanser For Sensitive Skin",₹211.00,4.3 out of 5 stars,"10,065 ratings"
"Garnier Skin Naturals, Face Serum, Increases Skin's Glow Instantly and Reduces Spots Overtime, Bright Complete Vitamin C Booster, 30 ml",₹384.00,4.0 out of 5 stars,"22,432 ratings"
"Dettol Liquid Handwash Refill - Skincare Moisturizing Hand Wash, 1500 ml (Price offer) | Antibacterial Formula | 10x Better Germ Protection",₹188.00,4.5 out of 5 stars,"38,207 ratings"
"The Derma Co 1% Hyaluronic Sunscreen Aqua Ultra Light Gel with SPF 50 PA++++ For Broad Spectrum, UV A, UV B & Blue Light Protection - 50g(dermaco)",₹448.00,4.3 out of 5 stars,"5,625 ratings"
"Parachute Advansed Deep Nourish Body Lotion for Women & Men, Dry Skin, 400ml | Pure Coconut Milk, 100% Natural, 72h Moisturisation",₹140.00,4.2 out of 5 stars,"46,736 ratings"
"Dettol Original Germ Protection Bathing Soap Bar (Buy 4 Get 1 Free - 75G Each), Combo Offer On Bath Soap",₹174.00,4.4 out of 5 stars,"9,494 ratings"
"Cetaphil Face Wash Gentle Skin Cleanser for Dry to Normal, Sensitive Skin, 125 ml Hydrating Face Wash with Niacinamide, Vitamin B5",₹283.00,4.3 out of 5 stars,"6,750 ratings"
Godrej Protekt Germ Fighter Handwash Refill Pack | Aqua | Germ Protection & Soft on Hands - 1.5 L,₹159.00,4.4 out of 5 stars,"20,018 ratings"
Mamaearth Ubtan Natural Face Wash for All Skin Type with Turmeric & Saffron for Tan removal and Skin brightning 100 ml - SLS & Paraben Free,₹232.00,4.1 out of 5 stars,"41,497 ratings"
